TD,Doc.Interno,Nro. de Factura,Valor Bruto,Retenciones,IVA,Desc/Rec,Neto Pagado
RE,5100371975,PMP1258271,11475000,0,2180250,0,13655250
RE,5100371977,PMP1258273,19154520,0,3639359,0,22793879
RE,5100372254,PMP1258536,126540080,0,24608916,0,94518956
RE,5100372314,PMP1258591,104705264,0,20389526,0,75542158
RE,5100372382,PMP1258199,20066640,0,3812662,0,23879302
RE,5100372383,PMP1258200,58425720,0,11100887,0,69526607
RE,5100372384,PMP1258201,29835000,0,5668650,0,35503650
RE,5100372400,PMP1258249,269870384,0,52584724,0,191519916
RE,5100372405,PMP1258142,84928200,0,16136358,0,101064558
RE,5100372406,PMP1258143,31924200,0,6065598,0,37989798
RE,5100372407,PMP1258144,23332500,0,4433175,0,27765675
RE,5100372854,PMP1258100,12769680,0,2426239,0,15195919
RE,5100372856,PMP1258098,49318680,0,9370549,0,58689229
RE,5100372859,PMP1258099,8415000,0,1598850,0,10013850
RE,5100372863,PMP1258215,54335248,0,10568174,0,40455798
RE,5100373364,PMP1257693,96312608,0,18738559,0,71134863
RE,5100373394,PMP1258535,52928864,0,10300328,0,38844760
RE,5100373784,PMP1258003,46611060,0,8856101,0,55467161
RE,5100373787,PMP1258004,42457500,0,8066925,0,50524425
RE,5100373789,PMP1258065,10945440,0,2079634,0,13025074
RE,5100373814,PMP1259016,53043720,0,10078307,0,63122027
RE,5100374059,PMP1258642,107852416,0,20989622,0,79075830
RE,5100374110,PMP1258643,70769024,0,13747959,0,54332471
RE,5100374272,PMP1259101,3466056,0,658551,0,4124607
RE,5100374276,PMP1259102,2736360,0,519908,0,3256268
RE,5100374277,PMP1259098,13005000,0,2470950,0,15475950
RE,5100374278,PMP1259103,1912500,0,363375,0,2275875
RE,5100374279,PMP1259099,49501680,0,9405319,0,58906999
RE,5100374280,PMP1259100,18685560,0,3550256,0,22235816
RE,5100380024,PMP1258272,71098200,0,13508658,0,84606858
RE,5100390797,PMP1259135,115273920,0,21902045,0,137175965
RE,5100391834,PMP1257067,18242400,0,3466056,0,21708456
RE,5100391840,PMP1257065,57325800,0,10891902,0,68217702
RE,5100392685,PMP1259015,18151188,0,3448726,0,21599914
RE,5100392686,PMP1259017,9945000,0,1889550,0,11834550
RE,5100371945,PMP1258006,68441280,0,13003843,0,81445123
RE,5100317180,PMP1247693,8797500,0,1671525,0,10469025
RE,5100362484,PMP1257032,10033320,0,1906331,0,11939651
RE,5100362491,PMP1257030,23332500,0,4433175,0,27765675
RE,5100362497,PMP1257031,34800000,0,6612000,0,41412000
RE,5100362662,PMP1257036,103134840,0,19595620,0,122730460
RE,5100362664,PMP1257037,37396920,0,7105415,0,44502335
RE,5100362665,PMP1257038,45517500,0,8648325,0,54165825
RE,5100363233,PMP1257029,156833904,0,30520211,0,115177163
RE,5100363487,PMP1256254,73361616,0,14269516,0,54550324
RE,5100363692,PMP1255598,82673344,0,16084502,0,61101174
RE,5100363867,PMP1256604,17330280,0,3292753,0,20623033
RE,5100363870,PMP1256605,27922500,0,5305275,0,33227775
RE,5100363876,PMP1256606,50873400,0,9665946,0,60539346
RE,5100363957,PMP1257066,8415000,0,1598850,0,10013850
RE,5100365103,PMP1254948,42784304,0,8329339,0,31081491
RE,5100365642,PMP1257780,15506040,0,2946148,0,18452188
RE,5100365644,PMP1257782,19507500,0,3706425,0,23213925
RE,5100365645,PMP1257781,69748800,0,13252272,0,83001072
RE,5100365907,PMP1256269,20414752,0,3968076,0,15455452
RE,5100367012,PMP1256355,9942108,0,1889001,0,11831109
RE,5100367015,PMP1256356,15682500,0,2979675,0,18662175
RE,5100367019,PMP1256357,27720000,0,5266800,0,32986800
RE,5100367710,PMP1256629,29814064,0,5788942,0,23175974
RE,5100367884,PMP1257660,22803000,0,4332570,0,27135570
RE,5100367886,PMP1257659,43287792,0,8224680,0,51512472
RE,5100367887,PMP1257661,9562500,0,1816875,0,11379375
RE,5100370779,PMP1258238,91191984,0,17739236,0,67655228
RE,5100371116,PMP1258331,64378200,0,12515349,0,48544449
RE,5100371720,PMP1258231,9562500,0,1816875,0,11379375
RE,5100371723,PMP1258232,74067600,0,14072844,0,88140444
RE,5100371870,PMP1258235,44867040,0,8524738,0,53391778
RE,5100371875,PMP1258233,19154520,0,3639359,0,22793879
RE,5100371881,PMP1258234,11092500,0,2107575,0,13200075
RE,5100371933,PMP1258005,24480000,0,4651200,0,29131200
RE,5100371934,PMP1258066,29187840,0,5545690,0,34733530
