R5504575
Fecha de pago:;26/09/2025
Forma de pago:;CTA;********2566
Cía;Cliente;Tipo Doc;Num Doc;Num Factura;Valor;Fecha Doc
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307496;'005002000657159;26.87;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307497;'005002000657165;26.87;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307498;'005002000657169;15.78;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307499;'005002000657171;42.10;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307500;'005002000657197;26.87;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307501;'005002000657200;20.20;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307502;'005002000657303;26.87;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307503;'005002000657309;26.87;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307504;'005002000657311;47.07;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307505;'007003000834223;-.01;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307505;'007003000834223;217.10;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307506;'007003000834233;20.20;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307507;'007003000834235;-.01;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307507;'007003000834235;58.43;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307508;'007003000834236;150.77;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307509;'007003000834241;204.30;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307509;'007003000834241;.01;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307510;'007003000834247;192.44;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307510;'007003000834247;-.02;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307511;'007003000834266;-.02;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307511;'007003000834266;117.51;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307512;'007003000834269;47.07;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307513;'007003000834280;67.27;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307514;'007003000834295;5.63;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307515;'007003000834296;-.01;11/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3307515;'007003000834296;174.19;11/06/2025
