Tipo de Documento,Referencia / Factura,Importe de factura,Descuento,Motivo del descuento,Pago Neto,Comentarios
Factura,PMP1261243,682298.0,,,682298.0,
Factura,PMP1260881,4914495.0,,,4914495.0,
Factura,PMP1261044,6046853.0,,,6046853.0,
Factura,PMP1261046,6047100.0,,,6047100.0,
Factura,PMP1260884,11742583.0,,,11742583.0,
Factura,PMP1260876,6763925.0,,,6763925.0,
Factura,PMP1260873,872075.0,,,872075.0,
Factura,PMP1260877,1622811.0,,,1622811.0,
Factura,PMP1261041,4141570.0,,,4141570.0,
Factura,PMP1261045,11166499.0,,,11166499.0,
Factura,PMP1262522,25012675.0,,,25012675.0,
Factura,PMP1261256,39754643.0,,,39754643.0,
Factura,PMP1261245,3040687.0,,,3040687.0,
Factura,PMP1263181,7695987.0,,,7695987.0,
Factura,PMP1263179,35773403.0,,,35773403.0,
Factura,PMP1260880,4417099.0,,,4417099.0,
Factura,PMP1263175,45540627.0,,,45540627.0,
Factura,PMP1263183,2732442.0,,,2732442.0,
Factura,PMP1263182,5208157.0,,,5208157.0,
Factura,PMP1263210,3308063.0,,,3308063.0,
Factura,PMP1260957,8504792.0,,,8504792.0,
Factura,PMP1260954,7709543.0,,,7709543.0,
Factura,PMP1263882,16363340.0,,,16363340.0,
Factura,PMP1264012,2868960.0,,,2868960.0,
Factura,PMP1263884,1412557.0,,,1412557.0,
Factura,PMP1264010,26286235.0,,,26286235.0,
Factura,PMP1263883,4253095.0,,,4253095.0,
Factura,PMP1264008,3539182.0,,,3539182.0,
Factura,PMP1263878,7368618.0,,,7368618.0,
Factura,PMP1264006,1461801.0,,,1461801.0,
Factura,PMP1263877,13793623.0,,,13793623.0,
Factura,PMP1261254,22283738.0,,,22283738.0,
Factura,PMP1263306,4614720.0,,,4614720.0,
Factura,PMP1262826,1585505.0,,,1585505.0,
Factura,PMP1264011,10268050.0,,,10268050.0,
Factura,PMP1261462,59073954.0,,,59073954.0,
Factura,PMP1262538,3479750.0,,,3479750.0,
Factura,PMP1262545,263999.0,,,263999.0,
Factura,PMP1262541,1958696.0,,,1958696.0,
Factura,PMP1262546,88553119.0,,,88553119.0,
Factura,PMP1262543,2714814.0,,,2714814.0,
Factura,PMP1262542,10091276.0,,,10091276.0,
Factura,PMP1262540,142292298.0,,,142292298.0,
Factura,PMP1262544,4997444.0,,,4997444.0,
Factura,PMP1261153,26972160.0,,,26972160.0,
Factura,PMP1261152,50723901.0,,,50723901.0,
Factura,PMP1261154,62911264.0,,,62911264.0,
Factura,PMP1261150,54371976.0,,,54371976.0,
Factura,PMP1261145,3008143.0,,,3008143.0,
Factura,PMP1261144,516479.0,,,516479.0,
Factura,PMP1259499,126548032.0,,,126548032.0,
Factura,PMP1259496,61449548.0,,,61449548.0,
Factura,PMP1263885,5707479.0,,,5707479.0,
Factura,PMP1260709,263778713.0,,,263778713.0,
Factura,PMP1260710,71237997.0,,,71237997.0,
Factura,PMP1261142,73546167.0,,,73546167.0,
Factura,PMP1261143,20444618.0,,,20444618.0,
Factura,PMP1261060,91910991.0,,,91910991.0,
Factura,PMP1262560,831315.0,,,831315.0,
Factura,PMP1261061,222933445.0,,,222933445.0,
Factura,PMP1260534,125729767.0,,,125729767.0,
Factura,PMP1260539,32984896.0,,,32984896.0,
Factura,PMP1260777,41329295.0,,,41329295.0,
Factura,PMP1260775,52006588.0,,,52006588.0,
Factura,PMP1260776,8427045.0,,,8427045.0,
Factura,PMP1260774,106898928.0,,,106898928.0,
Factura,PMP1258396,16787232.0,,,16787232.0,
Factura,PMP1261288,38763949.0,,,38763949.0,
Factura,PMP1261287,44266859.0,,,44266859.0,
Factura,PMP1261285,11745459.0,,,11745459.0,
Factura,PMP1262524,26460770.0,,,26460770.0,
Factura,PMP1262525,141099.0,,,141099.0,
Factura,PMP1262527,1370816.0,,,1370816.0,
Factura,PMP1262526,51092396.0,,,51092396.0,
Factura,PMP1259913,19538171.0,,,19538171.0,
Factura,PMP1259909,4270576.0,,,4270576.0,
Factura,PMP1259908,33892279.0,,,33892279.0,
Factura,PMP1260887,59361042.0,,,59361042.0,
Factura,PMP1262519,1119988.0,,,1119988.0,
Factura,PMP1262518,1721495.0,,,1721495.0,
Factura,PMP1262523,2732442.0,,,2732442.0,
Factura,PMP1262558,399759.0,,,399759.0,
Factura,PMP1261248,2765668.0,,,2765668.0,
Factura,PMP1260353,112708638.0,,,112708638.0,
